Kanji,Rank,Occurrences,Frequency,Cumulative Frequency
面,199,1046110,0.0012190209545613,0.5442303815479304
工,200,1042334,0.0012146208215691,0.5454450023694996
福,201,1009472,0.0011763270794112,0.5466213294489108
次,202,1006157,0.001172464144859,0.5477937935937699
男,203,1000915,0.0011663556975219,0.5489601492912919
保,204,995850,0.0011604535064189,0.5501206027977108
歌,205,994894,0.0011593394896973,0.5512799422874082
集,206,993644,0.0011578828778752,0.5524378251652835
城,207,984693,0.0011474523719396,0.5535852775372232
広,208,981142,0.0011433144290755,0.5547285919662988
台,209,979925,0.0011418962718055,0.5558704882381043
権,210,977651,0.0011392464035787,0.557009734641683
屋,211,974649,0.0011357482046268,0.5581454828463099
結,212,974077,0.001135081659057,0.559280564505367
重,213,971197,0.001131725625419,0.560412290130786
義,214,968252,0.0011282938479661,0.5615405839787522
古,215,960265,0.0011189866810677,0.56265957065982
運,216,958029,0.0011163810938404,0.5637759517536604
球,217,956024,0.0011140446884778,0.5648899964421381
受,218,953496,0.0011110988367288,0.5660010952788669
置,219,952828,0.0011103204233711,0.567111415702238
崎,220,948172,0.0011048948356561,0.5682163105378942
朝,221,947339,0.0011039241495379,0.5693202346874322
隊,222,943223,0.0010991278181301,0.5704193625055624
有,223,941927,0.001097617602993,0.5715169801085555
総,224,938035,0.0010930822964238,0.5726100624049792
言,225,937569,0.0010925392715365,0.5737026016765158
活,226,936738,0.0010915709159972,0.574794172592513
来,227,934257,0.0010886798328527,0.5758828524253657
不,228,932719,0.0010868876176668,0.5769697400430326
安,229,928720,0.0010822276251256,0.5780519676681583
谷,230,925551,0.0010785348228342,0.5791305024909925
園,231,922570,0.0010750610949609,0.5802055635859535
録,232,918750,0.0010706096892326,0.5812761732751862
愛,233,913378,0.001064349754266,0.5823405230294523
術,234,912044,0.0010627952581295,0.5834033182875819
持,235,910690,0.0010612174562038,0.5844645357437858
真,236,905977,0.0010557254469898,0.5855202611907756
交,237,903272,0.0010525733390068,0.5865728345297825
変,238,892970,0.0010405685270139,0.5876134030567964
産,239,889798,0.0010368722288542,0.5886502752856507
路,240,887218,0.0010338657820534,0.5896841410677042
技,241,886285,0.0010327785669894,0.5907169196346936
武,242,883917,0.0010300191615537,0.5917469387962474
阪,243,883238,0.0010292279300119,0.5927761667262593
馬,244,878369,0.0010235541356425,0.5937997208619019
利,245,878266,0.0010234341108284,0.5948231549727303
指,246,877611,0.0010226708462336,0.595845825818964
系,247,865841,0.0010089553893169,0.5968547812082808
橋,248,864206,0.0010070501410536,0.5978618313493345
研,249,863815,0.0010065945128756,0.5988684258622101
佐,250,860487,0.0010027164295605,0.5998711422917706
戸,251,857764,0.0009995433463673,0.600870685638138
別,252,857177,0.0009988593214556,0.6018695449595937
近,253,857000,0.0009986530652216,0.6028681980248153
局,254,853109,0.0009941189239418,0.6038623169487571
光,255,851844,0.0009926448327779,0.6048549617815351
登,256,847804,0.0009879370633689,0.605842898844904
型,257,843247,0.0009826268393103,0.6068255256842144
続,258,841655,0.0009807716984937,0.6078062973827082
史,259,831549,0.0009689952832345,0.6087752926659428
相,260,828678,0.0009656497372015,0.6097409424031444
付,261,822518,0.0009584715541423,0.6106994139572867
門,262,822144,0.0009580357358851,0.6116574496931718
店,263,811545,0.0009456848329233,0.6126031345260952
決,264,810126,0.0009440312871829,0.6135471658132781
要,265,810110,0.0009440126425516,0.6144911784558297
府,266,805520,0.0009386639639409,0.6154298424197706
進,267,797300,0.0009290852845988,0.6163589277043695
覧,268,796704,0.0009283907720821,0.6172873184764516
始,269,792845,0.0009238939200649,0.6182112123965166
計,270,788496,0.0009188260762135,0.6191300384727301
流,271,786718,0.0009167541915578,0.6200467926642879
心,272,785899,0.000915799819492,0.6209625924837798
任,273,782583,0.0009119357196503,0.6218745282034303
報,274,782537,0.0009118821163353,0.6227864103197656
育,275,781298,0.0009104383226972,0.6236968486424628
無,276,776476,0.0009048192969323,0.6246016679393952
約,277,770385,0.0008977215188457,0.6254993894582409
改,278,769502,0.0008966925682546,0.6263960820264955
土,279,768700,0.0008957580061095,0.6272918400326051
属,280,768695,0.0008957521796622,0.6281875922122674
終,281,767574,0.0008944458901802,0.6290820381024477
吉,282,766888,0.0008936465016122,0.62997568460406
究,283,763596,0.0008898103687176,0.6308654949727776
少,284,761948,0.0008878899716913,0.631753384944469
得,285,761385,0.0008872339137267,0.6326406188581957
製,286,761298,0.0008871325335439,0.6335277513917396
寺,287,751559,0.0008757837795156,0.6344035351712553
造,288,750857,0.0008749657463163,0.6352785009175717
江,289,750790,0.0008748876719227,0.6361533885894943
英,290,748414,0.0008721189441713,0.6370255075336656
基,291,742183,0.0008648580255605,0.6378903655592262
参,292,741303,0.0008638325708378,0.638754198130064
建,293,739495,0.0008617257274983,0.6396159238575623
紀,294,737959,0.0008599358428913,0.6404758597004536
競,295,735975,0.0008576239086073,0.641333483609061
由,296,733465,0.0008546990320686,0.6421881826411295
域,297,730656,0.000851425733982,0.6430396083751115
収,298,727876,0.0008481862292897,0.6438877946044013
直,299,726640,0.00084674593152,0.6447345405359213
千,300,725982,0.0008459791710568,0.6455805197069782
向,301,725765,0.0008457263032445,0.6464262460102227
意,302,722433,0.0008418435587716,0.6472680895689943
称,303,714236,0.0008322916810871,0.6481003812500814
官,304,713603,0.0008315540528604,0.6489319353029418
兵,305,706512,0.000823290985316,0.6497552262882579
解,306,706314,0.0008230602580034,0.6505782865462614
備,307,705543,0.0008221618198316,0.651400448366093
説,308,699943,0.0008156361988686,0.6522160845649617
協,309,699605,0.0008152423310319,0.6530313268959937
星,310,694851,0.0008097025449502,0.653841029440944
伝,311,692060,0.0008064502220738,0.6546474796630178
監,312,691739,0.0008060761641579,0.6554535558271758
営,313,688764,0.0008026094280213,0.6562561652551971
統,314,676827,0.0007886993677652,0.6570448646229624
格,315,672694,0.0007838832264366,0.657828747849399
撃,316,672346,0.0007834777057054,0.6586122255551045
他,317,672045,0.0007831269535786,0.6593953525086831
白,318,668271,0.0007787291511654,0.6601740816598485
陸,319,667654,0.00077801016757,0.6609520918274185
葉,320,664895,0.0007747951339563,0.6617268869613748
様,321,662963,0.0007725437947241,0.662499430756099
転,322,662472,0.0007719716376003,0.6632714023936993
