Kanji,Rank,Occurrences,Frequency,Cumulative Frequency,cumulative_frequency
自,59,2206583,0.0025713079073699,0.2975092182553127,0.2975092182553098
線,60,2181625,0.0025422246130854,0.3000514428683982,0.3000514428683952
動,61,2175368,0.0025349333969488,0.302586376265347,0.302586376265344
定,62,2171775,0.0025307465119274,0.3051171227772744,0.30511712277727143
回,63,2167508,0.0025257742218115,0.307642896999086,0.3076428969990829
前,64,2166847,0.00252500396548,0.310167900964566,0.3101679009645629
村,65,2154498,0.0025106138059672,0.3126785147705332,0.3126785147705301
文,66,2153904,0.0025099216240294,0.3151884363945627,0.3151884363945595
平,67,2144573,0.0024990483080999,0.3176874847026626,0.3176874847026594
内,68,2134984,0.0024878743474903,0.3201753590501529,0.3201753590501497
世,69,2131659,0.0024839997600435,0.3226593588101965,0.3226593588101932
町,70,2119086,0.0024693485756923,0.3251287073858888,0.3251287073858855
選,71,2116609,0.0024664621537056,0.3275951695395945,0.3275951695395911
画,72,2115215,0.0024648377402016,0.3300600072797962,0.33006000727979273
公,73,2056487,0.0023964026209317,0.3324564099007279,0.33245640990072445
三,74,2027801,0.002362975127549,0.334819385028277,0.33481938502827346
北,75,2013306,0.0023460842568601,0.3371654692851372,0.3371654692851336
下,76,1998918,0.0023293180721432,0.3394947873572804,0.3394947873572768
車,77,1992492,0.0023218299220882,0.3418166172793687,0.34181661727936496
駅,78,1981410,0.0023089161843184,0.3441255334636871,0.34412553346368335
的,79,1979901,0.0023071577625267,0.3464326912262139,0.34643269122621007
原,80,1962384,0.0022867453870968,0.3487194366133107,0.34871943661330684
主,81,1960210,0.0022842120478158,0.3510036486611265,0.35100364866112266
通,82,1954907,0.0022780325178218,0.3532816811789483,0.3532816811789445
全,83,1947473,0.0022693697559935,0.3555510509349419,0.355551050934938
物,84,1940355,0.0022610752256338,0.3578121261605757,0.3578121261605718
放,85,1927158,0.0022456969006609,0.3600578230612367,0.3600578230612327
女,86,1915601,0.0022322296503987,0.3622900527116354,0.3622900527116314
海,87,1912023,0.0022280602447191,0.3645181129563546,0.3645181129563505
送,88,1902505,0.002216969019661,0.3667350819760157,0.3667350819760115
入,89,1871215,0.0021805071125306,0.3689155890885463,0.3689155890885421
明,90,1854469,0.0021609931752725,0.3710765822638188,0.3710765822638146
神,91,1841733,0.0021461520487396,0.3732227343125585,0.3732227343125542
目,92,1831402,0.0021341134433525,0.375356847755911,0.3753568477559067
号,93,1830145,0.0021326486745042,0.3774894964304153,0.3774894964304109
方,94,1824649,0.0021262442436448,0.3796157406740602,0.37961574067405573
機,95,1823095,0.0021244333838276,0.3817401740578878,0.38174017405788335
体,96,1814531,0.0021144538449121,0.3838546279028,0.38385462790279545
化,97,1767199,0.0020592983643018,0.3859139262671019,0.38591392626709725
関,98,1753157,0.0020429353697372,0.3879568616368392,0.38795686163683446
西,99,1738495,0.0020258498957089,0.3899827115325481,0.3899827115325434
教,100,1735092,0.0020218844156844,0.3920045959482325,0.3920045959482278
曲,101,1729372,0.0020152189599866,0.3940198149082192,0.39401981490821436
法,102,1728997,0.0020147819764399,0.3960345968846592,0.39603459688465426
位,103,1705958,0.0019879348726247,0.3980225317572839,0.398022531757279
現,104,1672901,0.0019494138990226,0.3999719456563066,0.39997194565630156
語,105,1649860,0.0019225644646285,0.4018945101209351,0.4018945101209301
設,106,1637184,0.001907793255463,0.4038023033763982,0.40380230337639306
区,107,1633878,0.001903940808516,0.4057062441849142,0.4057062441849091
初,108,1588753,0.0018513571217387,0.407557601306653,0.40755760130664775
理,109,1588277,0.0018508024439569,0.4094084037506099,0.40940840375060467
対,110,1581424,0.0018428167153035,0.4112512204659134,0.4112512204659082
式,111,1580260,0.0018414603183747,0.4130926807842882,0.41309268078428285
最,112,1575756,0.0018362118546574,0.4149288926389456,0.4149288926389402
軍,113,1573250,0.0018332916392765,0.4167621842782222,0.4167621842782167
表,114,1571035,0.0018307105231278,0.41859289480135,0.4185928948013445
木,115,1569803,0.0018292748865159,0.4204221696878659,0.4204221696878604
記,116,1556854,0.0018141855533286,0.4222363552411945,0.42223635524118897
水,117,1554726,0.0018117058173626,0.4240480610585572,0.4240480610585516
当,118,1545535,0.0018009956419572,0.4258490567005145,0.42584905670050877
連,119,1534569,0.0017882170777644,0.427637273778279,0.42763727377827315
都,120,1531965,0.0017851826640167,0.4294224564422957,0.4294224564422899
州,121,1523085,0.0017748348936326,0.4311972913359283,0.4311972913359225
演,122,1520121,0.00177138097568,0.4329686723116084,0.4329686723116025
性,123,1514238,0.0017645255778006,0.434733197889409,0.4347331978894031
力,124,1510390,0.0017600415439675,0.4364932394333765,0.4364932394333706
数,125,1477987,0.0017222826696706,0.4382155221030472,0.4382155221030412
見,126,1470234,0.0017132481805053,0.4399287702835526,0.4399287702835465
在,127,1465993,0.0017083061879154,0.441637076471468,0.4416370764714619
書,128,1462763,0.0017045423029671,0.4433416187744351,0.443341618774429
元,129,1458861,0.0016999953435033,0.4450416141179384,0.4450416141179323
治,130,1456866,0.0016976705910352,0.4467392847089737,0.4467392847089675
正,131,1439037,0.0016768946452945,0.4484161793542682,0.44841617935426203
民,132,1436708,0.0016741806861476,0.4500903600404158,0.45009036004040964
美,133,1430423,0.0016668568419061,0.451757216882322,0.45175721688231574
勝,134,1410198,0.0016432888626248,0.4534005057449468,0.45340050574494056
以,135,1409698,0.0016427062178959,0.4550432119628428,0.4550432119628365
番,136,1402957,0.0016348510016618,0.4566780629645046,0.45667806296449825
実,137,1401219,0.0016328257285844,0.458310888693089,0.4583108886930827
員,138,1380829,0.0016090654765425,0.4599199541696316,0.45991995416962517
南,139,1369554,0.0015959268379073,0.4615158810075389,0.4615158810075325
金,140,1369109,0.0015954082840986,0.4631112892916376,0.4631112892916311
王,141,1363752,0.0015891658284739,0.4647004551201116,0.464700455120105
多,142,1356410,0.0015806102732757,0.4662810653933874,0.4662810653933807
組,143,1340747,0.0015623583445003,0.4678434237378877,0.467843423737881
二,144,1337387,0.0015584429719225,0.4694018667098102,0.4694018667098035
藤,145,1326693,0.0015459813664622,0.4709478480762724,0.4709478480762657
度,146,1324201,0.0015430774651337,0.4724909255414061,0.47249092554139943
岡,147,1323178,0.0015418853740185,0.4740328109154246,0.47403281091541793
期,148,1319933,0.0015381040097283,0.475570914925153,0.47557091492514625
鉄,149,1305211,0.0015209486183326,0.4770918635434856,0.4770918635434788
井,150,1297501,0.0015119642366139,0.4786038277800996,0.47860382778009275
政,151,1289758,0.0015029414003432,0.4801067691804428,0.48010676918043593
等,152,1287921,0.0015008007636095,0.4816075699440524,0.4816075699440454
天,153,1260231,0.0014685338985266,0.4830761038425791,0.483076103842572
電,154,1256816,0.0014645544350287,0.4845406582776078,0.4845406582776007
空,155,1245479,0.0014513435484471,0.485992001826055,0.4859920018260478
映,156,1242937,0.0014483813826457,0.4874403832087007,0.4874403832086935
加,157,1239676,0.0014445813737243,0.4888849645824251,0.48888496458241776
制,158,1235734,0.0014399878026821,0.4903249523851072,0.4903249523850999
郎,159,1227297,0.0014301562555278,0.4917551086406351,0.49175510864062766
共,160,1226895,0.0014296878091658,0.4931847964498009,0.49318479644979346
編,161,1223672,0.0014259320812437,0.4946107285310447,0.49461072853103716
院,162,1208662,0.0014084410864841,0.4960191696175289,0.49601916961752124
優,163,1207800,0.0014074366069716,0.4974266062245006,0.49742660622449286
特,164,1202402,0.0014011463744791,0.4988277525989798,0.49882775259897194
楽,165,1187023,0.0013832253879097,0.5002109779868895,0.5002109779868816
知,166,1178372,0.0013731444688114,0.5015841224557009,0.5015841224556931
界,167,1173193,0.0013671094347101,0.5029512318904111,0.5029512318904031
松,168,1171979,0.0013656947733085,0.5043169266637196,0.5043169266637116
太,169,1167116,0.0013600279706759,0.5056769546343955,0.5056769546343876
話,170,1156518,0.0013476782330035,0.5070246328673991,0.5070246328673911
使,171,1156166,0.0013472680511144,0.5083719009185135,0.5083719009185055
音,172,1151287,0.0013415826038504,0.509713483522364,0.5097134835223559
外,173,1148918,0.0013388220331252,0.5110523055554893,0.5110523055554811
品,174,1144888,0.0013341259166108,0.5123864314721002,0.5123864314720918
科,175,1142710,0.001331587916172,0.5137180193882722,0.5137180193882639
務,176,1141038,0.0013296395521988,0.5150476589404711,0.5150476589404627
売,177,1134627,0.0013221688814857,0.5163698278219568,0.5163698278219484
信,178,1131080,0.0013180355997793,0.5176878634217362,0.5176878634217277
賞,179,1126635,0.00131285588814,0.5190007193098762,0.5190007193098677
気,180,1118587,0.0013034776385847,0.520304196948461,0.5203041969484524
口,181,1118474,0.001303345960876,0.521607542909337,0.5216075429093284
形,182,1112171,0.0012960011414243,0.5229035440507613,0.5229035440507527
経,183,1110324,0.001293848851796,0.5241973929025574,0.5241973929025486
議,184,1109192,0.0012925297441299,0.5254899226466874,0.5254899226466785
役,185,1100043,0.0012818685108817,0.5267717911575691,0.5267717911575602
郡,186,1094341,0.0012752240303941,0.5280470151879633,0.5280470151879544
館,187,1085315,0.0012647061277491,0.5293117213157125,0.5293117213157035
身,188,1084330,0.0012635583176333,0.5305752796333458,0.5305752796333367
士,189,1079550,0.0012579882340257,0.5318332678673716,0.5318332678673624
団,190,1075136,0.0012528446463595,0.5330861125137312,0.533086112513722
版,191,1074307,0.0012518786213991,0.5343379911351304,0.534337991135121
取,192,1072105,0.0012493126540133,0.5355873037891438,0.5355873037891343
点,193,1071678,0.0012488150754149,0.5368361188645587,0.5368361188645492
石,194,1067082,0.0012434594050675,0.5380795782696263,0.5380795782696167
能,195,1064680,0.0012406603797902,0.5393202386494165,0.5393202386494069
際,196,1060405,0.0012356787673586,0.5405559174167751,0.5405559174167656
宮,197,1055964,0.0012305037168771,0.5417864211336523,0.5417864211336426
昭,198,1051189,0.0012249394597168,0.5430113605933691,0.5430113605933594
面,199,1046110,0.0012190209545613,0.5442303815479304,0.5442303815479207
工,200,1042334,0.0012146208215691,0.5454450023694996,0.5454450023694898
福,201,1009472,0.0011763270794112,0.5466213294489108,0.546621329448901
次,202,1006157,0.001172464144859,0.5477937935937699,0.54779379359376
男,203,1000915,0.0011663556975219,0.5489601492912919,0.5489601492912819
保,204,995850,0.0011604535064189,0.5501206027977108,0.5501206027977008
歌,205,994894,0.0011593394896973,0.5512799422874082,0.5512799422873981
集,206,993644,0.0011578828778752,0.5524378251652835,0.5524378251652733
城,207,984693,0.0011474523719396,0.5535852775372232,0.5535852775372129
広,208,981142,0.0011433144290755,0.5547285919662988,0.5547285919662883
台,209,979925,0.0011418962718055,0.5558704882381043,0.5558704882380938
権,210,977651,0.0011392464035787,0.557009734641683,0.5570097346416725
屋,211,974649,0.0011357482046268,0.5581454828463099,0.5581454828462993
結,212,974077,0.001135081659057,0.559280564505367,0.5592805645053562
重,213,971197,0.001131725625419,0.560412290130786,0.5604122901307752
